request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,"Pay IDR 15,656,000 on 3 August 2025. This keeps at least IDR 24,768,300 available over the next 90 days."
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,"Pay ZAR 6,670 on 5 July 2026. This keeps at least ZAR 20,500 available over the next 90 days."
request_28,289.79,affordable_later,wait,2024-07-15:1302.40,2024-07-15,none,"Wait until 15 July 2024, then pay EUR 1,302.40 in full. Paying sooner would take the balance below the EUR 1,100 minimum."
request_29,1847.74,not_affordable,not_recommended,none,,none,"Do not proceed with this ZAR 51,524 request. No available option keeps the ZAR 28,300 minimum balance protected within the 90-day forecast, even though ZAR 1,847.74 is safe to pay today."
request_30,775.20,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,"Use 3 installments of USD 268.74, starting 6 April 2026. This leaves at least USD 900 available."
request_31,2693181.90,affordable_later,wait,2024-11-15:18164000,2024-11-15,none,"Wait until 15 November 2024, then pay IDR 18,164,000 in full. Paying sooner would take the balance below the IDR 16,588,900 minimum."
request_32,13296.45,not_affordable,not_recommended,none,,none,"Do not proceed with this ZAR 40,018 request. No available option keeps the ZAR 35,700 minimum balance protected within the 90-day forecast, even though ZAR 13,296.45 is safe to pay today."
request_33,24443.91,not_affordable,not_recommended,none,,none,"Do not proceed with this INR 118,000 request. No available option keeps the INR 102,100 minimum balance protected within the 90-day forecast, even though INR 24,443.91 is safe to pay today."
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,"Pay INR 129,400 on 4 December 2024. This keeps at least INR 138,500 available over the next 90 days."
request_35,28074.56,affordable_later,wait,2026-01-15:212000,2026-01-15,none,"Wait until 15 January 2026, then pay INR 212,000 in full. Paying sooner would take the balance below the INR 106,400 minimum."
request_36,590.72,affordable_later,wait,2026-09-15:3954,2026-09-15,none,"Wait until 15 September 2026, then pay USD 3,954 in full. Paying sooner would take the balance below the USD 2,400 minimum."
request_37,4357182.14,affordable_later,wait,2024-05-15:14649000,2024-05-15,none,"Wait until 15 May 2024, then pay IDR 14,649,000 in full. Paying sooner would take the balance below the IDR 17,056,200 minimum."
request_38,172.06,affordable_later,wait,2025-10-15:971.30,2025-10-15,none,"Wait until 15 October 2025, then pay EUR 971.30 in full. Paying sooner would take the balance below the EUR 400 minimum."
request_39,57990,affordable_later,wait,2026-06-15:208600,2026-06-15,none,"Wait until 15 June 2026, then pay INR 208,600 in full. Paying sooner would take the balance below the INR 213,400 minimum."
request_40,354.74,not_affordable,not_recommended,none,,none,"Do not proceed with this EUR 1,290.30 request. No available option keeps the EUR 1,500 minimum balance protected within the 90-day forecast, even though EUR 354.74 is safe to pay today."
